aajmoen	henki | ajatus
bïegke raadtan	tuulen puolella
bïenghke	penkki
bïerje	kallio
bïesedh	päästä
bïevnese	tieto
bïhtemoere	kuivatuskapula | nahan pingotinkapula
bïjveles	lämmin
bööredidh	kutsua
böötedh	paikata
daablodh	pelata
daabloe	lautapeli
daabloebaakoe	pelisana
daabloehtæjja	pelaaja
daajh	aistit
daajroe	tieto
daaktedh	varttua | kypsyä | kovettua
daaletje	tämänpäivänen
daamehke	kesyporo
daamtaj	usein
daan jaepien	tänä vuonna
daan jïjjen	tänä yönä
daanhtsoehtidh	tanssia
daanjehtidh	hieroa
daaresjidh	pahoinpidellä
daaroengïele	norjan kieli
daasta	tähti
daata	tieto
daatoe	päivämäärä
dabran	tarttunut
daellie	tiinu | rasia | aski
daelvie doekoe	talvemmalle
daelviejuhteme	talvimuutto
daenbien	tänään
dagkoe	siellä
dajve	alue
daktere	tytär
daltedidh	poljeskella | poljeksia
daltese	taso
dalvedh	esiintyä | tulla
damhkedh	ilmaantua
dan man jïjnjem	sen jälkeen
dan mietie	sen jälkeen
dan soe	aivan | täysin
dangkodh	tilata
dannasinie	sen takia
darvodh	tervata
dassedh	menettää
dasselidh	menettää
deakahgierehtse	telttatankojen pulkka
dearkoes	hermostunut
deejedh	sijoita
deerjedh	saastaa
dej åvteste	heidän takia | niiden takia
dejbeeli	ennen vanhaa
dejpeladtje	vanhanaikainen
dielhtie	jäätikkö
dierie	vahvike
digkie	käräjät
digkiedidh	keskustella
digkiedimmie	keskustelu
digkiedimmielahtese	keskusteluvuoro | puheenvuoro
direktööre	johtaja
ditnie	tina
doedtere	tunturi
doeltehtidh	kiehuttaa
doeltijehtedh	kiehahtaa
dom daam	sitä ja tätä
domtese	tunne
dorjehtæjja	näyttelijä
dorjese	tuote
dotnele	kaulanahka
duelie vuajnah	ole hyvä | olkaa hyvät
dulvie	tulva
dunnie bealesne	siellä toisella puolella
dusnie daesnie	siellä ja täällä
duvrie	karhu
duvtedh	tukea
duvtestahke	tuki
duvvehke	kuikka
dåahka	nukke
dååsveridh	käyttäytyä
dæjmetje giesien	viime kesänä
dïevedh	täytyä
dïjnehke	sokeri
dïjre	viesti
dïmpere	tukki
döörhke	kaulus
eadtjohkelaakan	innokkaasti | ahkerasti
ealjoeh	laiska
eanghkoen	tahallaan
easadidh	nousta
easkan	äsken
eejhteghtjåanghkoe	vanhempainkokous
eengkele	enkeli
eksaamene	tentti
elkie	poika
faadta	polttopuu
faage	oppiaine
faageaamhtese	oppiaine
faala	valas
faaledh	tarjota
faaleldahke	tarjous
faamoeh tjöönghkedh	kerätä voimia
faatna	väinönputki
faerhmiestidh	halata
fahkes	hereillä
feejjen	iloinen
feeledh	matkustaa
feeredh	matkustaa
fijrie	poikamies
filme	elokuva
firrelidh	ravistaa
flyjjere	saamelaispäähineen nauha
foeme	tuomi
fuakedh	kyllästyä
funhterdidh	miettiä
færkasidh	sirotella
fïerhten biejjien	joka päivä
fïerhten iehkeden	joka ilta
fïerpenroehtse	rätvänä
fïrredh	ravistaa
föörhkelh	nauru
gaajhkenjevlien	limainen
gaajhtse	vuohi
gaajpeles	kömpelö
gaajsege	saniainen
gaalehtjidh	kahlia
gaallohke	kallokas | kallokkaat
gaaloe	kylmä sää
gaaltije	lähde
gaaltijejohketje	lähdepuro
gaalve	kelohonka
gaanedidh	syleillä
gaaranasse	korppi
gaaredh	sitoa monta asiaa
gaarkoehtidh	kaapia
gaarvanadtedh	häipyä
gaarvanidh	häipyä
gaase	hanhi
gaatske	vasta kastroitu härkä
gaave	koukku
gaavestidh	haukkua
gaavnoes	oleva
gabnjelidh	pelotella
gadtere	 poron jalkojen iho, ydinluu tai jäntee
gadtjeråtjka	poron takajalankynsien välissä oleva rakko
gadtsese	kynsi
gaejsie	vuorenhuippu
gaekere	poronkakka
gaelmie	hauta
gaelmiesijjie	hautapaikka
gaertienadtje	torppa
gaertjies	ahdas
gaessie	pihka
gaetskedh	purra
gaetskehke	härkä ensimmäisen kastrointivuoden jälkeen
gaevnie	lelu
gahpedh	 (porosta) nousta kahdelle jalalle
gajhkehtestedh	kuivata
gajpe	hattu
galhkuve	loppu
galkedh	pitää
galme	kylmä
gamte	leveä
gapta	saamenpuku
gaptese	saamenpuku
gaptjese	peitto
garhpe	kuilu
garhtse	hihna
garkedh	valua
garmerdidh	pröystäillä
garmeres	ylpeä
garrelaejpie	näkkileipä
garse	vesiputous
gaskedh	salamoida
gaskesadtemegïele	kommunikointikieli
gaskeviermie	internetti | internet
geahpoe	eläinkeuhkot
geajnoeraejkien	tietä pitkin
gearkeske	kivinen
gearodh	rakastua
gebrie	kantohanki
gedtie	villiporo
geellege	vaimo
geeremegåetie	vankila
geerjedh	ilo
geesjelelaakan	kunnolla
geevledh	 leikata etu- ja takasäärien nahat teurastetusta porosta | kirkua, kiljua
gellene lehkesne	monella paikalla
gie dellie datne	kuka sinä olet
giefies	köyhä
gieltegs	jännittävä
gierehtse	pulkka
gierhkie	ahma
gieriesvaejvie	rakkaussuru
gieriesvoete	rakkaus
giesememoere	nahanpehmityspuu
giesemeruevtie	kesämmälle
giesie doekoe	kesämmälle
giesie-eejehtimmie	kesäloma
giesiebarkoe	kesätyö
giesien	vetää
gievrie	saamelaisrumpu 
gihtjedidh	kysyä
gihtjesovvedh	tulla kysytyksi
gilledh	asettua makuulle (eläimestä)
gillehtidh	ruokkia
gilmehtahke	pakastin
giltedh	kiiltää
gipsedh	kipsata
girmedh	kehua
girtedh	kaartaa
girtiesijjie	lentokenttä
girvene	halukas
gitaare	kitara
goejhke	koski
goerehtalledh	haastatella
goerehtalleme	haastattelu
goerhtele	neljännes
goerke	kurki
goetsehtidh	ajaa takaa
goetselidh	juosta
goevte	helmikuu
goevtesmoere	nahan pingotuspuu
golkedahke	kiima-ajan loppuvaihe
golkedh	kiima-ajan loppuvaihe
golkehke	kulvakko | rykimän uuvuttama hirvas
gorredidh	pelastaa
govlesovvedh	kuulua
govse	lehmä
grammatihke	kielioppi
gudtsien prïhtjegen åvteste	kiitos kahvista | kiitos kahvin edestä
gudtsiestidh	kiittää
guehperenlïetse	poron sorkkien kopse
guektien haerien	kahteen osaan
guelhties	kylmä
gueliejaevrie	kalajärvi
guhkiesbuejtie	teurastuksesta: paksusuolen sisin osa
gujredh	ulvoa
guktie gåarede	miten menee
gumsie	karhu
gurhkedh	kaataa
gurhkestidh	kaadella
gurhtie	kuikka
gurreme	kutominen
gurremeabpese	villapusero
gurremetråajja	villapaita
gurruve	kieretty nauha
guvhkiehtidh	kutsua poroa
guvhkiehtæjja	poronkutsuja
guvviedidh	piirtää
gyhtjelasse	kysymys
gyhtsele	etana
gyvjeh	nopea
gåahta	karkki
gåaroje	ompelija
gåarome	sauma
gåaromedeerpegh	ompelutarvikkeet
gåatomelaante	laidunalue
gåetehke	avomies | avovaimo
gåetiegïele	kotikieli
gåetiesjalja	piha
gåffoeh	höyhen
gåhtjodh	kutsua
gålkoe	marraskuu
gårroebielie	vasen puoli
gårroeh bielie	vasen puoli
gåvles	(kengän, repun,  komsion) kiinnityslenkki
gåvnahtalledh	hyvästellä
gåårestahke	ompelulanka
gåårtenje	nauha | lanka
gæjsa	kiisa
gællasjidh	maata
gælloeh	makaava
gæmhpodh	taistella
gæmhpome	taistelu
gærrodh	kirota
gïehke	vaadin
gïelebiesie	kielipesä
gïeledajve	kielialue
gïelejarnge	kieliopetus
gïelenjoelkedasse	kielisääntö
gïeleööhpehtimmie	kieliopetus
gïeltege	syvin jänne poron takajalassa | jänne poron takajalassa | jänne
gïerene	kiiruna
gïerestalledh	lasketella mäkeä
gïerestidh	laskea mäkeä
gïerhgietjie	huippu
gïeriesvoelpe	ystävä
gïermesje	käärme
gïerte	erotusaita
gïesedh	sitoa
gïeteråantja	johtoporo
gïethgierehtse	ensimmäinen pulkka
gïevehpluevie	suo?
gïevehtidh	keinua
gïjre doekoe	kevämmälle
gïjrelaante	kesämaa
gïrse	henkitorvi | putki | letku
göögkeles	upea | mainio
göökten harran	kahteen osaan
gööles	kalaisa
haelieh	kuivatuskapulat | nahan pingotinkapulat
haeliehtidh	lentää
haerrie	harjus
hajkedidh	juosta
hajkodh	heittää
heamture	tarina
heejle	kokonainen
heevehtimmie	juhlinta
hievnie	hämähäkki
hievnieviermie	hämähäkinseiti
hijven hov	se on hyvä | hyvä on
hojjedh	valita
hopsedh	haista
hujnies	surullinen
hurrehke	urakka
hussege	vesi-itikka
håagkstaavra	onki
håhkoe	toivo
håågkedidh	kalastaa
håålesjidh	kapuloida poronnahat maahan kuivattaviksi
hælloe	hylly
iehkeden	ilta
iehtsedh	rakastaa
iehtseles	rakastettu
ierie	tehtävä | asia
ihkuve	ikuinen
ij	ei
ij åejjieh vielie guedtieh	päähän ei mahdu enää
jaa hævvi	tietysti | niin tietysti
jaame	kuollut
jaehkedh	uskoa
jaemedh	kuolla
jaemielidh	kuolla
jallese	länteen | lännempänä
jarkedh	kääntyä
jarkelidh	kääntää
jarnge	keskus
jeahna	jättiläinen
jeanoe	joki
jearja	pohjansinivalvatti
jearmijes	järkevä
jearsoes	turvallinen
jeeluve	pääoma
jemhkelde	pimeys
jestiehtidh	tykytellä vaatimen utareita, jotta niistä tulisi maitoa
jiehtege	lause
jielemeguvvie	elokuva
jiesie	pyöreä karvakerros poron takajalassa polvitaipeen sisäpuolella
jievege	matto
jihtseles	tiivis
jillieraedtie	länsipuoli
jimhkelidh	tuhota
jipse	kipsi
jirredeaereden	huomenna aamulla
johke	puro | joki
johkebealam	joenreuna
johkenjaelmie	joensuu
jorkesidh	muuttua
jorkestimmie	muutos
jovjeråtnoe	vaaleanharmaa vaadin
juakasovvedh	jakaantua
juelkiebielie	poronnahan etujalkojen reiät
juelkietjengkere	jalkapallo
jueskiedahke	jääkaappi
juhteme	muutto
julevsaemie	luulajansaamelainen
julevsaemiengïele	luulajansaamen kieli
jupmele	jumala
jurjiehtamme beapmoeh	valmiiksi tehty ruoka
jurjiehtæjja	kokki
juvse	tuoremehu
jåamoe	hapro | juomu
jåaskoedehtedh	viilentää
jåerhkedh	pidentää
jånnga	pöytäveitsi
jårredh	pyöriä | tanssia
jåvleaske	joulukuu
jåvlejïjje	jouluyö
jåvlelaavloe	joululaulu
jåvli mænngan	joulun jälkeen
jåvli åvtelen	ennen joulua
jååktetje jïjjen	eilisestä yöstä
jæjsodh	huurtua
jïekedh	olla vesitiivis
jïermestalledh	miettiä
jïermijes	viisas
jïjjedidh	yöpyä
jïjjesnjågloe	lehtopöllö
jïjledh	kirvellä
jïjseme	huurre | kuura
jïlleskuvle	korkeakoulu
jöömmetje	kaksonen
kapteene	kapteeni
keebrege	korppu
klaapsaspaarra	kuivatuskapula | nahan pingotinkapula
klaeries	kirkas
klajkesidh	kiekua | jankuttaa |maasata 
klajkodh	kiekua | kukkua
klodtje	aukko
klååmsehth	puuskainen tuuli
klæhtoehtidh	leikkiä
kneekedh	jyrsiä
knugkedh	hieroa
konsulente	neuvonantaja | konsulentti
kontejnere	kontti
konvensjovne	konventio | sopimus
kraavhtse	puuro
kraejedh	röhkiä
kraejhpies	kumpuileva
kraesienjålhtja	heinäsirkka
kreadta	kahvilisäke
kreeke	eläin
kreemsedh	tarttua
kristedh	kastaa
kroenesaate	vihannes
kruepieslaejpie	tumma leipää
kråahpe	keho
kråavvoehrudtjen	kyyryselkäinen
krïevve	poro
krïtnedh	murista | äristä
kuvsjeplaane	kurssisuunnitelma
kvæjta	pallas | ruijanpallas
kåale	kaali
kåarje	kori
kåvrehts	uninen
kååpe	naisten takki
laabjehtidh	kävellä märissä kengissä
laaje	parkkivesi
laampe	karitsa
laanteburrie	maanviljelijä
laantemuerjie	metsämansikka
laavenjasse	tehtävä
laavkometjïehtjele	kylpyhuone
laemtjie	ohjakset
laemtjiestidh	valjastaa
laessie	kuorma
lapte	vintti
lea	olla
leahkoe	poikkipuu
leaksoe	läksy
leamkedh	sulata
leamoestidh	ryöpätä
learoegærja	oppikirja
learoeplaane	oppisuunnitelma
learoesoejkesje	oppisuunnitelma
learoevierhtie	oppineuvo
learohke	oppilas
learohkedåehkie	oppilasjoukko
leatskodh	uppoa
leekedh	teurastaa
leekemebovtse	teurasporo
leekemebïjle	teurastusauto
leesedh	lukita
leevege	neulanen
libnjiedidh	haista
lidtedh	metsästää
liemme	lato
lijhkiemåvhka	alushousut | pikkuhousut | pikkarit
lijhkiesjåarhtoe	aluspaita
lijhkievaarjoe	alusvaatteet
lissie	lisäys
lissiehtidh	lisätä
loehke	umpikelkka
loehkegierehtse	umpikelkka
loejhmedh	valita
loeve	silmäluomi | luomi
loeves	irtonainen
loevesmiesie	vasikka ilman äitiä
lohkehtidh	opettaa
lopmedoenehke	lumikelkka
lopmefealloe	lumilauta
lovvehtidh	liottaa
luehkedh	kutoa kengännauhaa
luemege	sopuli
luhkieakte	yksitoista
luhkiegaektsie	kahdeksantoista
luhkiegolme	kolmetoista
luhkiegovhte	kuusitoista
luhkiegöökte	kaksitoista
luhkienieljie	neljätoista
luhkietjïjhtje	seitsemäntoista
luhkieuktsie	yksitoista
luhkievïjhte	viisitoista
lustes	hauska
luvhtedh	täytyy
luvlene	idässä | itä
låabpoeh	hajotettu
låamma	tasku
låavtege	teltta
låemie	niitty
låesuve	vasta | vihta
lårhvoehbïenje	karvainen koira
låssas	näennäisesti
låvnadahke	auringonnousu
læstoe	saamenpuvun hameessa oleva nauha
lïemkeds	leuto
lïene	lämmin
lïerehtidh	opettaa
lïerhkelidh	ajaa poroelo alas tunturilta tiettyyn paikkaan
lïhtsege	selkäranka  lihoineen
lïhtsestidh	leikata
lööbpedh	levittää
lööneme	laina
maadthööhpehtimmie	perusopetus
maadtoe	alkuperä
maalestahke	ateria
maalle	malli
maarhte	näätä
maehtehtje	taitava
maejstedh	maistaa
maeksemekåarhte	maksukortti
man	kuinka
man båeries	kuinka vanha
man gaavhtan	minkä takia
man gellie	kuinka paljon
man guhkiem	kuinka pitkä
man jïjnje	kuinka paljon
man stoerre	kuinka iso
maskastimmien raajan	siihen asti, että kaikki mitä on jäljellä on rypyttää ja ommella yläosan kiinni
mastedh	sekoittua
mearhka	sumu
mearoegööleme	merikalastus
measehke	vasan nahka
meile	sähköposti | maili
miehtjiebasse	taemmaksi
mieriesoejkesje	aikasuunnitelma
mietiebïegke	myötätuuli
mij dellie	entäs sitten
mij faatoes	mikä on hätänä
mij joem	jokin
mij vielie	mitä vielä
mijjieh	me
minngehke	jälkijoukko
mobïjle	kännykkä | matkapuhelin
moehtegadtje	lumikko
moeregaerie	puukulho
moeretsöölhke	tikka
moevse	lokki
mohtedidh	vertailla
mojhteladtedh	yrittää muistaa monia asioita
mojhteleslaakan	huolellisesti 
mojhtestehtedh	muistuttaa
mojjehtidh	hymyillä
mojnestimmie	arvoitus
molledh	seurustella
molsesovvedh	vaihtaa
mov luvhtie	minun luota | minulta
mubpiengïele	toinen kieli | vieraskieli
mueltie	multa
muerjie	marja
mulliedidh	mennä pilveen
multie	multa
murhkedh	murskata
måaladidh	maalata
måara	iso luu
måarahtovvedh	suuttua
måaskedh	loukkaantua
måaskodh	loukkaantua
måedtieh såarhth	monenlaisia | monta lajia
mårhkedh	tuhoutua
måskoes	suljettu
mænngese	taakse
mïele	mieli
mïjle	miili | 10 km | kymmenen kilometriä
na	| melko
naa guhkiem	aika kauan
naan aejkien	pari kertaa
naapere	pora
naemie	sarvinahka
naestie	tähti
nahkere	väsymys
najpetje	pieni veitsi
nalhke	tyyny
namhpe	poronmerkki
napkedh	kulua
nastedh	siirtää puita lähemmäs toisiaan nuotiossa | kohentaa tulta
neebne	kaima
neeledh	hävetä
nejpiensjapmere	hamara | veitsen selkä
nieskedh	näskätä | kaapia
nieskemegalte	aavin, jota käytetään nahan kaapimiseen
nieskemeruevtie	näskäin | kaavin nahan kaapimiseen
nietsege	sääriluu
nihtedh	kieltää
njaaka	hiiviskella
njaalmeldh	suullinen
njaalmeldhgïele	puhekieli
njaarege	kaulaliha
njaarke	saarento
njaavhkodh	naukua
njaelkieslaakan	hyvin | mukavasti
njalkedh	hyvin | mukavasti
njallemejuelkie	nyljetty jalka
njallesbuejtie	selkärasva
njaltja	iho
njealjehts	neljännes
njelliestidh	nylkeä
njeltedh	poistaa karvat, nivottaa
njevlie	lima
njilkehtidh	karvata | poistaa karvat nahasta
njimkedahke	liima
njoere	mehukas
njoktje	maaliskuu
njorkedidh	viheltää
njovhkedidh	laulaa
njuenehke	etujoukko
njålhtjodh	hypätä
njæjhkodh	itkeä
njïdtjele	hyvä pihka
noeredaltese	yläaste
noereskuvle	yläaste
noerhte	pohjoinen
noerhtene	pohjoisessa
noerhtesaemie	pohjoissaamelainen
noerhtesaemiengïele	pohjoissaamen kieli
novh gujht	aivan | kyllä | joo
novh lea	näin on
nuhtjedh	käyttää
numhtie	näin | sillä tavalla
nyjsene	nainen
nyöjhkemehaamoe	kieltomuoto
nåajsan	raskaana
nåajtodh	ennustaa | taikoa | kirota
nåakelaakan	huonosti
nåalodh	puhua
nåejtie	noita
nåekies	huono
nårroe	nyytti
nårtodh	suostua
nåtsh	miten
nåå nåå	näkemiin | hyvästi
nåå nåå dellie	näkemiin | hyvästi
nåålesidh	irtoa
nænnoestidh	määrätä
nïhpesjidh	kastroida | katketa
nïmmehtsmoere	näsiäkasvi
nïmmerh	ohutsuoli
nöökedh	olla tyytyväinen
obrijidh	sataa
ohtsije	hakija
oktebisnie	yksinoleskelu
olle	olas | suksen pohjan ura
organisasjovne	järjestö
organiste	urkuri
orredaamehke	vasta kesytetty poro
orredaaroengïele	nykynorja
orreråantja	vasta kastroitu härkä
orrijimmie	päätäjäiset
ov nimhtie	näin | sillä tavalla
ovmessie	erilainen
paajsanidh	piileskellä
pahke	pakata
peanna	kynä
peannagåetie	kynäkotelo
pearalaejpie	perunaleipä
pedagogihke	kasvatustiede
plaantege	sekoitus
plaerietjaeleme	lehtikirjoitus
pleaksjode	kaula ja rinta paljaana
plijrehtahke	koriste
plåahkodh	olla nauru herkässä
praare deava	jyrkkä mäki
programme	ohjelma
prïhtjhvoesse	kahvipussi
prïhtjhvoessetje	kahvipussi
pååjketje	pikkupoika
raadtehts	ulkosuoli, jolla on juokseva sisältö
raajedh	lähettää
raajese	lause
raajesetseegkeme	lauseoppi
raajnevaarjoe	sadevaatteet
raame	jyrkkä rinne
raante	peura
raarahtalledh	neuvotella
raarhkemestuhtje	erotettava poro
raaste	raja
raavtedh	kyllästyä
raavtehtje	voimakas
raavteres	voimakas
radio	radio
raedtehke	koira, joka on taitava vahtimaan porotokan reunaa
raejkiebaenie	reikähammas
rahka	marraskuu
rahta	kuusimetsä
rajjadidh	metelöidä | pitää hauskaa
rasse	tihkusade
reavsa	imusolmuke
reehkedh	haravoida
reektedh	oikaista
reektehts	rapporti
reeredh	hallita
rehkere	höylä
rektore	rehtori
restiedidh	ajaa poroa | johtaa poroa
rihkijahtjedh	tulla kiimaan
rijredh	ratsasta
rohtedh	yhtäkkiä alkaa olla erittäin huono ilma
rutjkes	ruskea
ryöjrehtidh	varustaa matkalle
råakodh	haukkua
råanedh	olla nisällä
råase	peura
råatedh	paukkua
råateme	ilves
råavedh	etsiä vaadinta
rååpsedidh	punastua
råårhkesje	kuivakuusi
ræhka	olla kiimassa
rïeresjidh	pitää
rïesedh	koristaa
rïevtege	koppakuoriainen
rïhkedahke	kiima
rïhkede	lokakuu
rïhkijidh	tulla kiimaan
rïhpesidh	avautua
rïjtedh	laitta
röödtsedh	möyriä
rööhtse	rotta
saadtege	lähete
saadteske	hiekkaranta
saajkardahke	kuivatuskapula | nahan pingotinkapula
saajkardidh	kapuloida nahan sivut kuivatuskapulan avulla
saavredh	harjoitella
saavrehks	kestävä
saedtiepaehpere	hiekkapaperi
saejmie	sauma
saelhties	suolattu
saemesth amma	puhua saamea
saemiedigkie	saamelaiskäräjät
saemiedigkiepresidente	saamelaispresidentti
saemiengïele	saamen kieli
saemienkultuvre	saamen kulttuuri
saemiensiebrie	saamelaisjärjestä
saemienskuvle	saamelaiskoulu
saemienööhpehtimmie	saamenopetus
saevege	lippu
saevegebiejjie	liputuspäivä
saeviehtidh	heiluttaa
sarhvegidh	tulla risaiseksi
sarve	hirvi
seahkoe	sorkka
seahkoemåara	sorkan iso luu
seahkoevoeje	koparoista keitetty rasva
seammalaakan	samanlainen
searome	poski
seeptjedh	valmistella muuttoreitti
sermie	ryteikkö | pöheikkö
sesnie	sisna
siegkies	laiha
sieptie	syöte
sietedh	keli
sieties	makea
sigledh	purjehtia
sihtege	ahven
sijjieh	teroittaa
sijjienomme	paikannimi
sisnjelen	sisällä
sisvege	sisältö
sjaavodh	hiljaantua
sjeavodslaakan	hilja | äännettömästi
sjilkedh	sulata
sjilkehtimmie	sulatettu
sjoehkedidh	huokata
sjovnestidh	palvella
sjyjjedehtedh	silittää
sjyjjehke	liukas
sjyjjesjidh	tasoittaa
sjåarhta	paita
sjïele	häälahja
sjïjlelaejpie	tikkuleipä
sjöövelidh	sekoittaa
sjöövememielhkie	ternimaito
skaale	kuori
skaanjedh	kilistää
skaavhtes	kulmikas
skaavtjoe	parta
skeenedh	nuolla
skeeredh	hangata sarvet | vähenevä kuu
skeerestidh	lakaista
skeerkedh	kirkastua
skierrie	vaivaiskoivu
skijre	harakka
skilledh	ojentaa jalat
skirhmedh	tuhota
skirreduarsta	kiirastorstai
skitjskiestidh	nauraa isosti ja paljon
skodth varki	kiirehdi
skopmehke	viita
skråavva	kaulin
skråevviestidh	kaulia
skuehtiejaepie	karkausvuosi
skuehtiejaepiebiejjie	karkauspäivä
skylledh	käydä ripillä
skylleme	rippijuhla
skåerrie	parkittu nahka
skååffedh	hankkia
skïemmenidh	hävetä
skïemtjelasse	sairaus
skïerede	syyskuu
skïeredh	kiimaaika
skïeremesarva	sarvensa menettänyt urosporo
skïhpe	laiva
slaahpoesoene	selkäsuoni
slaarve	valhe
slaarvestidh	juorua
slaarvestimmie	juoru
slajkedh	irtoa
slearodh	heittää
sleebpedh	kaataa
sleegkedh	 laittaa maahan (merkattava vasikka tai kuohittava urosporo)
sleehpeldihkie	lyhyistä selkäjänteistä kehrätty
sleejedh	niittää
sliehtie-elmie	räntäsää
slovves	katala
sluekieh	teurastusjätteet
slyöbpedh	välttää
slyöhpedh	välttää
slåavege	selkäsauna
slïehtehke	pulmunen
smaahkodh	hakata
smaarege	murrede
smaarehtjïerte	murre
snarredh	rypyttää
sneehpeslaakan	nopeasti
snjipkedh	päästä
snjuhtjie	kärki
snovsedidh	niistää nenää
snurke	sika
snåhta	teerinaaras
snööledh	laidun
snöölhke	susi
soejkesje	suunnitelma | idea
soejkesjidh	suunnitella
soekse	toukka
soelkehtidh	lohduttaa
soen’åedtjie	selkäliha
soeskedh	purra
soevestahke	savuliha
sohte	epidemia
sojjehtidh	taivuttaa
sojjehtimmie	taivutus
sommedh	kuiskata
soptsese	kertomus
soptsestimmie	lausunto
soptsestæjja	kertoja
sovhte	flunssa | nuha
spaaneserehkere	höylä
sperniedidh	potkia ja vastustella
spååredh	säästää
spïele	soitin
staate	valtio
staehkie	heinäseiväs
staellie	talli
staeriedidh	oikoa | korjata
steeblege	saapas
stoenedh	(eläimistä) lähteä uimaan
stoerredigkie	suurkäräjät
stoerredålle	suurtuli
stoerregiebnie	suurkattila
straavedh	olla huolestunut | epäillä
stratjke	ruisku
stråmhpoe	pensas
stråmhpoeraedtie	pensaikon reuna
stræjjavoesse	juuttireppu
ståante	hetki | tuokio
ståapa	tupa | talo
ståaradidh	pärjätä
stïelhke	varsi
stöörelgovvedh	häiriintyä
sualadidh	varastaa
suehpedebaelie	vasikoimisaika
suehpiehtidh	vasikoida
suvhpie	haapa | metsähaapa
suvtie	raate
svaejlehke	pailakka | edellisenä vuonna kuohittu urosporo, jota ei ole vielä opetettu
svirrege	päästäinen
